stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Mahyar Mohamammadyar\documents\visual studio 2015\Projects\Meet in the middle game board\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.42000] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.42016] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.42029] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.42045] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.42058] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42074] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42088] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42103] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42116] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42131] Score is : 657
display  D   display_settings.c:214  debug_display_settings           [   0.42144] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42160] Score is : 665
display  D   display_settings.c:214  debug_display_settings           [   0.42173] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42188] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42201] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42218] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42231] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42253] Score is : 657
display  D   display_settings.c:214  debug_display_settings           [   0.42267] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42286] Score is : 665
display  D   display_settings.c:214  debug_display_settings           [   0.42299] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42319] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42332] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42347] Score is : 513
